nohup: ignoring input

Bad key savefig.frameon in file /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle, line 421 ('savefig.frameon : True')
You probably need to get an updated matplotlibrc file from
https://github.com/matplotlib/matplotlib/blob/v3.4.3/matplotlibrc.template
or from the matplotlib source distribution

Bad key verbose.level in file /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle, line 472 ('verbose.level  : silent      # one of silent, helpful, debug, debug-annoying')
You probably need to get an updated matplotlibrc file from
https://github.com/matplotlib/matplotlib/blob/v3.4.3/matplotlibrc.template
or from the matplotlib source distribution

Bad key verbose.fileo in file /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle, line 473 ('verbose.fileo  : sys.stdout  # a log filename, sys.stdout or sys.stderr')
You probably need to get an updated matplotlibrc file from
https://github.com/matplotlib/matplotlib/blob/v3.4.3/matplotlibrc.template
or from the matplotlib source distribution
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The text.latex.preview rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The mathtext.fallback_to_cm rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: Support for setting the 'mathtext.fallback_to_cm' rcParam is deprecated since 3.3 and will be removed two minor releases later; use 'mathtext.fallback : 'cm' instead.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The validate_bool_maybe_none function was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The savefig.jpeg_quality rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The keymap.all_axes rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The animation.avconv_path rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The animation.avconv_args rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
deep
pygame 2.0.2 (SDL 2.0.16, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
/home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/gym/logger.py:34: UserWarning: [33mWARN: Box bound precision lowered by casting to float16[0m
  warnings.warn(colorize("%s: %s" % ("WARN", msg % args), "yellow"))
<__array_function__ internals>:5: VisibleDeprecationWarning: Creating an ndarray from ragged nested sequences (which is a list-or-tuple of lists-or-tuples-or ndarrays with different lengths or shapes) is deprecated. If you meant to do this, you must specify 'dtype=object' when creating the ndarray.
4
cuda:0
4
cuda:0
episode:  0 , score:  -33.760000000000375 , average score: -33.8 , best score: -inf , epsilon: 0.99 , steps:  752
episode:  1 , score:  15.619999999999923 , average score: -9.1 , best score: -33.76 , epsilon: 0.98 , steps:  1628
episode:  2 , score:  -24.299999999999862 , average score: -14.1 , best score: -9.07 , epsilon: 0.98 , steps:  2488
episode:  3 , score:  -73.1050000000006 , average score: -28.9 , best score: -9.07 , epsilon: 0.97 , steps:  3109
episode:  4 , score:  -63.39000000000111 , average score: -35.8 , best score: -9.07 , epsilon: 0.96 , steps:  3787
episode:  5 , score:  -32.485000000000426 , average score: -35.2 , best score: -9.07 , epsilon: 0.96 , steps:  4284
episode:  6 , score:  -43.20999999999988 , average score: -36.4 , best score: -9.07 , epsilon: 0.95 , steps:  4926
episode:  7 , score:  -24.48999999999983 , average score: -34.9 , best score: -9.07 , epsilon: 0.94 , steps:  5824
episode:  8 , score:  -92.78999999999952 , average score: -41.3 , best score: -9.07 , epsilon: 0.94 , steps:  6382
episode:  9 , score:  -92.88499999999941 , average score: -46.5 , best score: -9.07 , epsilon: 0.93 , steps:  6959
episode:  10 , score:  -35.05500000000054 , average score: -45.4 , best score: -9.07 , epsilon: 0.92 , steps:  7970
episode:  11 , score:  44.93500000000031 , average score: -37.9 , best score: -9.07 , epsilon: 0.91 , steps:  8983
episode:  12 , score:  15.314999999999795 , average score: -33.8 , best score: -9.07 , epsilon: 0.90 , steps:  9920
episode:  13 , score:  -22.709999999999873 , average score: -33.0 , best score: -9.07 , epsilon: 0.90 , steps:  10462
episode:  14 , score:  -24.139999999999663 , average score: -32.4 , best score: -9.07 , epsilon: 0.89 , steps:  11290
episode:  15 , score:  -23.235000000000305 , average score: -31.9 , best score: -9.07 , epsilon: 0.88 , steps:  11937
episode:  16 , score:  -33.82500000000049 , average score: -32.0 , best score: -9.07 , epsilon: 0.87 , steps:  12702
episode:  17 , score:  -62.64000000000086 , average score: -33.7 , best score: -9.07 , epsilon: 0.87 , steps:  13230
episode:  18 , score:  35.660000000000096 , average score: -30.0 , best score: -9.07 , epsilon: 0.86 , steps:  14098
episode:  19 , score:  -53.32500000000065 , average score: -31.2 , best score: -9.07 , epsilon: 0.85 , steps:  14763
episode:  20 , score:  -44.51000000000075 , average score: -31.8 , best score: -9.07 , epsilon: 0.84 , steps:  15665
episode:  21 , score:  -43.93499999999987 , average score: -32.4 , best score: -9.07 , epsilon: 0.84 , steps:  16452
episode:  22 , score:  -63.60000000000124 , average score: -33.7 , best score: -9.07 , epsilon: 0.83 , steps:  17172
episode:  23 , score:  14.324999999999081 , average score: -31.7 , best score: -9.07 , epsilon: 0.82 , steps:  18307
episode:  24 , score:  15.00999999999993 , average score: -29.9 , best score: -9.07 , epsilon: 0.81 , steps:  19305
episode:  25 , score:  -93.12499999999913 , average score: -32.3 , best score: -9.07 , epsilon: 0.80 , steps:  19930
episode:  26 , score:  37.01000000000034 , average score: -29.7 , best score: -9.07 , epsilon: 0.80 , steps:  20528
episode:  27 , score:  -42.69000000000041 , average score: -30.2 , best score: -9.07 , epsilon: 0.79 , steps:  21066
episode:  28 , score:  -54.824999999999555 , average score: -31.0 , best score: -9.07 , epsilon: 0.78 , steps:  22031
episode:  29 , score:  -23.540000000000042 , average score: -30.8 , best score: -9.07 , epsilon: 0.77 , steps:  22739
episode:  30 , score:  -24.18499999999961 , average score: -30.6 , best score: -9.07 , epsilon: 0.76 , steps:  23576
episode:  31 , score:  24.079999999999778 , average score: -28.9 , best score: -9.07 , epsilon: 0.75 , steps:  24760
episode:  32 , score:  15.305000000000062 , average score: -27.5 , best score: -9.07 , epsilon: 0.74 , steps:  25699
episode:  33 , score:  -103.21500000000054 , average score: -29.8 , best score: -9.07 , epsilon: 0.74 , steps:  26342
episode:  34 , score:  -53.81000000000006 , average score: -30.4 , best score: -9.07 , epsilon: 0.73 , steps:  27104
episode:  35 , score:  -62.54000000000007 , average score: -31.3 , best score: -9.07 , epsilon: 0.72 , steps:  27612
episode:  36 , score:  -53.56000000000114 , average score: -31.9 , best score: -9.07 , epsilon: 0.72 , steps:  28324
episode:  37 , score:  15.189999999999998 , average score: -30.7 , best score: -9.07 , epsilon: 0.71 , steps:  29286
episode:  38 , score:  -92.89000000000115 , average score: -32.3 , best score: -9.07 , epsilon: 0.70 , steps:  29864
episode:  39 , score:  -113.87500000000188 , average score: -34.3 , best score: -9.07 , epsilon: 0.63 , steps:  36639
episode:  40 , score:  -23.02000000000044 , average score: -34.1 , best score: -9.07 , epsilon: 0.63 , steps:  37243
episode:  41 , score:  14.154999999998918 , average score: -32.9 , best score: -9.07 , epsilon: 0.62 , steps:  38412
episode:  42 , score:  37.135000000000026 , average score: -31.3 , best score: -9.07 , epsilon: 0.61 , steps:  38985
episode:  43 , score:  46.53500000000009 , average score: -29.5 , best score: -9.07 , epsilon: 0.60 , steps:  39678
episode:  44 , score:  -24.475000000000378 , average score: -29.4 , best score: -9.07 , epsilon: 0.59 , steps:  40573
episode:  45 , score:  26.315000000000047 , average score: -28.2 , best score: -9.07 , epsilon: 0.59 , steps:  41310
episode:  46 , score:  -63.685000000000684 , average score: -28.9 , best score: -9.07 , epsilon: 0.58 , steps:  42047
episode:  47 , score:  77.77999999999939 , average score: -26.7 , best score: -9.07 , epsilon: 0.58 , steps:  42491
episode:  48 , score:  47.380000000000216 , average score: -25.2 , best score: -9.07 , epsilon: 0.57 , steps:  43015
episode:  49 , score:  -63.76999999999996 , average score: -26.0 , best score: -9.07 , epsilon: 0.56 , steps:  43769
... saving checkpoint ...
... saving checkpoint ...
episode:  50 , score:  -73.57999999999997 , average score: -26.9 , best score: -9.07 , epsilon: 0.56 , steps:  44485
episode:  51 , score:  55.18499999999961 , average score: -25.3 , best score: -9.07 , epsilon: 0.55 , steps:  45448
episode:  52 , score:  -139.78499999997157 , average score: -27.5 , best score: -9.07 , epsilon: 0.39 , steps:  61405
episode:  53 , score:  -88.09999999996127 , average score: -28.6 , best score: -9.07 , epsilon: 0.29 , steps:  71025
episode:  54 , score:  26.610000000000007 , average score: -27.6 , best score: -9.07 , epsilon: 0.28 , steps:  71703
episode:  55 , score:  -46.880000000005865 , average score: -28.0 , best score: -9.07 , epsilon: 0.25 , steps:  75079
episode:  56 , score:  -46.19500000000085 , average score: -28.3 , best score: -9.07 , epsilon: 0.24 , steps:  76318
episode:  57 , score:  42.71999999999971 , average score: -27.0 , best score: -9.07 , epsilon: 0.22 , steps:  77774
episode:  58 , score:  -85.45500000000007 , average score: -28.0 , best score: -9.07 , epsilon: 0.21 , steps:  78865
episode:  59 , score:  -77.46500000000107 , average score: -28.9 , best score: -9.07 , epsilon: 0.20 , steps:  80358
episode:  60 , score:  5.010000000001591 , average score: -28.3 , best score: -9.07 , epsilon: 0.15 , steps:  85356
episode:  61 , score:  50.219999999999715 , average score: -27.0 , best score: -9.07 , epsilon: 0.10 , steps:  91312
episode:  62 , score:  -64.15500000000067 , average score: -27.6 , best score: -9.07 , epsilon: 0.10 , steps:  92143
