episode: 0, score: -93.95000000000088, average score: -94.0, best score: -inf, epsilon: 0.99, steps: 790
episode: 1, score: -53.91000000000053, average score: -73.9, best score: -93.95, epsilon: 0.98, steps: 1572
episode: 2, score: 54.88999999999999, average score: -31.0, best score: -73.93, epsilon: 0.97, steps: 2594
episode: 3, score: -72.61000000000003, average score: -41.4, best score: -30.99, epsilon: 0.97, steps: 3116
episode: 4, score: -54.25000000000062, average score: -44.0, best score: -30.99, epsilon: 0.96, steps: 3966
episode: 5, score: -44.43999999999964, average score: -44.0, best score: -30.99, epsilon: 0.95, steps: 4854
episode: 6, score: -62.13000000000047, average score: -46.6, best score: -30.99, epsilon: 0.95, steps: 5280
episode: 7, score: -34.63500000000001, average score: -45.1, best score: -30.99, epsilon: 0.94, steps: 6207
episode: 8, score: 67.52499999999998, average score: -32.6, best score: -30.99, epsilon: 0.93, steps: 6702
episode: 9, score: 26.914999999999907, average score: -26.7, best score: -30.99, epsilon: 0.93, steps: 7319
episode: 10, score: 15.379999999999944, average score: -22.8, best score: -26.66, epsilon: 0.92, steps: 8243
episode: 11, score: -34.44000000000032, average score: -23.8, best score: -22.84, epsilon: 0.91, steps: 9131
episode: 12, score: 56.080000000000084, average score: -17.7, best score: -22.84, epsilon: 0.90, steps: 9915
episode: 13, score: 15.455000000000435, average score: -15.3, best score: -17.66, epsilon: 0.89, steps: 10824
episode: 14, score: 57.540000000000106, average score: -10.4, best score: -15.29, epsilon: 0.89, steps: 11316
episode: 15, score: 56.875000000000334, average score: -6.2, best score: -10.44, epsilon: 0.88, steps: 11941
episode: 16, score: 55.795000000000435, average score: -2.6, best score: -6.23, epsilon: 0.87, steps: 12782
episode: 17, score: -33.28500000000097, average score: -4.3, best score: -2.58, epsilon: 0.87, steps: 13439
episode: 18, score: -54.80500000000143, average score: -6.9, best score: -2.58, epsilon: 0.86, steps: 14400
episode: 19, score: -35.895000000001254, average score: -8.4, best score: -2.58, epsilon: 0.84, steps: 15579
episode: 20, score: -53.03500000000016, average score: -10.5, best score: -2.58, epsilon: 0.84, steps: 16186
episode: 21, score: -54.05500000000151, average score: -12.5, best score: -2.58, epsilon: 0.83, steps: 16997
episode: 22, score: 16.08499999999992, average score: -11.3, best score: -2.58, epsilon: 0.82, steps: 17780
episode: 23, score: -54.62000000000151, average score: -13.1, best score: -2.58, epsilon: 0.81, steps: 18704
episode: 24, score: 34.77499999999974, average score: -11.1, best score: -2.58, epsilon: 0.80, steps: 19749
episode: 25, score: -53.8149999999998, average score: -12.8, best score: -2.58, epsilon: 0.80, steps: 20512
episode: 26, score: 54.7249999999992, average score: -10.3, best score: -2.58, epsilon: 0.78, steps: 21567
episode: 27, score: -24.9849999999998, average score: -10.8, best score: -2.58, epsilon: 0.77, steps: 22564
episode: 28, score: 16.80499999999923, average score: -9.9, best score: -2.58, epsilon: 0.77, steps: 23203
episode: 29, score: -43.189999999999735, average score: -11.0, best score: -2.58, epsilon: 0.76, steps: 23841
episode: 30, score: -53.260000000001, average score: -12.3, best score: -2.58, epsilon: 0.76, steps: 24493
episode: 31, score: -73.97500000000043, average score: -14.3, best score: -2.58, epsilon: 0.75, steps: 25288
episode: 32, score: -44.43999999999989, average score: -15.2, best score: -2.58, epsilon: 0.74, steps: 26176
episode: 33, score: -63.44000000000057, average score: -16.6, best score: -2.58, epsilon: 0.73, steps: 26864
episode: 34, score: -73.09500000000075, average score: -18.2, best score: -2.58, epsilon: 0.73, steps: 27483
episode: 35, score: 23.96000000000023, average score: -17.0, best score: -2.58, epsilon: 0.71, steps: 28691
episode: 36, score: 46.609999999999566, average score: -15.3, best score: -2.58, epsilon: 0.71, steps: 29369
episode: 37, score: 35.45499999999992, average score: -14.0, best score: -2.58, epsilon: 0.70, steps: 30278
episode: 38, score: -33.520000000000216, average score: -14.5, best score: -2.58, epsilon: 0.69, steps: 30982
episode: 39, score: 16.20499999999968, average score: -13.7, best score: -2.58, epsilon: 0.68, steps: 31741
episode: 40, score: -55.44499999999924, average score: -14.7, best score: -2.58, epsilon: 0.67, steps: 32830
episode: 41, score: 27.03499999999994, average score: -13.7, best score: -2.58, epsilon: 0.67, steps: 33423
episode: 42, score: -101.80499999999901, average score: -15.8, best score: -2.58, epsilon: 0.66, steps: 33784
episode: 43, score: -52.45000000000001, average score: -16.6, best score: -2.58, epsilon: 0.66, steps: 34274
episode: 44, score: 6.4899999999997915, average score: -16.1, best score: -2.58, epsilon: 0.65, steps: 34976
episode: 45, score: -42.310000000000535, average score: -16.7, best score: -2.58, epsilon: 0.65, steps: 35438
episode: 46, score: -82.8200000000005, average score: -18.1, best score: -2.58, epsilon: 0.64, steps: 36002
episode: 47, score: 47.205000000000254, average score: -16.7, best score: -2.58, epsilon: 0.64, steps: 36561
episode: 48, score: 11.599999999999902, average score: -16.1, best score: -2.58, epsilon: 0.62, steps: 38241
episode: 49, score: 25.929999999999083, average score: -15.3, best score: -2.58, epsilon: 0.61, steps: 39055
