episode: 0, score: 30.0, average score: 30.0, best score: -inf, epsilon: 0.99, steps: 1550
episode: 1, score: 70.0, average score: 50.0, best score: 30.00, epsilon: 0.98, steps: 2261
episode: 2, score: 50.0, average score: 50.0, best score: 50.00, epsilon: 0.97, steps: 3358
episode: 3, score: 60.0, average score: 52.5, best score: 50.00, epsilon: 0.96, steps: 4132
episode: 4, score: 60.0, average score: 54.0, best score: 52.50, epsilon: 0.95, steps: 4876
episode: 5, score: 60.0, average score: 55.0, best score: 54.00, epsilon: 0.94, steps: 5787
episode: 6, score: 60.0, average score: 55.7, best score: 55.00, epsilon: 0.93, steps: 7188
episode: 7, score: 60.0, average score: 56.2, best score: 55.71, epsilon: 0.92, steps: 8329
episode: 8, score: 60.0, average score: 56.7, best score: 56.25, epsilon: 0.91, steps: 9072
episode: 9, score: 60.0, average score: 57.0, best score: 56.67, epsilon: 0.90, steps: 9783
episode: 10, score: 40.0, average score: 55.5, best score: 57.00, epsilon: 0.89, steps: 10706
episode: 11, score: 60.0, average score: 55.8, best score: 57.00, epsilon: 0.88, steps: 11903
episode: 12, score: 40.0, average score: 54.6, best score: 57.00, epsilon: 0.87, steps: 12983
episode: 13, score: 60.0, average score: 55.0, best score: 57.00, epsilon: 0.86, steps: 13648
episode: 14, score: 40.0, average score: 54.0, best score: 57.00, epsilon: 0.86, steps: 14392
episode: 15, score: 30.0, average score: 52.5, best score: 57.00, epsilon: 0.84, steps: 15609
episode: 16, score: 50.0, average score: 52.4, best score: 57.00, epsilon: 0.84, steps: 16205
episode: 17, score: 70.0, average score: 53.3, best score: 57.00, epsilon: 0.83, steps: 17207
episode: 18, score: 60.0, average score: 53.7, best score: 57.00, epsilon: 0.82, steps: 18102
episode: 19, score: 70.0, average score: 54.5, best score: 57.00, epsilon: 0.81, steps: 19031
episode: 20, score: 40.0, average score: 53.8, best score: 57.00, epsilon: 0.80, steps: 19978
episode: 21, score: 80.0, average score: 55.0, best score: 57.00, epsilon: 0.79, steps: 20722
episode: 22, score: 90.0, average score: 56.5, best score: 57.00, epsilon: 0.79, steps: 21562
episode: 23, score: 80.0, average score: 57.5, best score: 57.00, epsilon: 0.77, steps: 22643
episode: 24, score: 40.0, average score: 56.8, best score: 57.50, epsilon: 0.76, steps: 23809
episode: 25, score: 70.0, average score: 57.3, best score: 57.50, epsilon: 0.76, steps: 24496
episode: 26, score: 60.0, average score: 57.4, best score: 57.50, epsilon: 0.75, steps: 25313
episode: 27, score: 70.0, average score: 57.9, best score: 57.50, epsilon: 0.74, steps: 26007
episode: 28, score: 80.0, average score: 58.6, best score: 57.86, epsilon: 0.73, steps: 26589
episode: 29, score: 40.0, average score: 58.0, best score: 58.62, epsilon: 0.72, steps: 27592
episode: 30, score: 30.0, average score: 57.1, best score: 58.62, epsilon: 0.71, steps: 28850
episode: 31, score: 30.0, average score: 56.2, best score: 58.62, epsilon: 0.70, steps: 29964
episode: 32, score: 50.0, average score: 56.1, best score: 58.62, epsilon: 0.69, steps: 31148
episode: 33, score: 20.0, average score: 55.0, best score: 58.62, epsilon: 0.68, steps: 32155
episode: 34, score: 40.0, average score: 54.6, best score: 58.62, epsilon: 0.67, steps: 33232
episode: 35, score: 80.0, average score: 55.3, best score: 58.62, epsilon: 0.66, steps: 34042
episode: 36, score: 40.0, average score: 54.9, best score: 58.62, epsilon: 0.65, steps: 35006
episode: 37, score: 40.0, average score: 54.5, best score: 58.62, epsilon: 0.64, steps: 36023
episode: 38, score: 40.0, average score: 54.1, best score: 58.62, epsilon: 0.63, steps: 36980
episode: 39, score: 80.0, average score: 54.8, best score: 58.62, epsilon: 0.62, steps: 37744
episode: 40, score: 50.0, average score: 54.6, best score: 58.62, epsilon: 0.62, steps: 38536
episode: 41, score: 90.0, average score: 55.5, best score: 58.62, epsilon: 0.61, steps: 39489
episode: 42, score: 90.0, average score: 56.3, best score: 58.62, epsilon: 0.60, steps: 40215
episode: 43, score: 60.0, average score: 56.4, best score: 58.62, epsilon: 0.59, steps: 41343
episode: 44, score: 40.0, average score: 56.0, best score: 58.62, epsilon: 0.58, steps: 42520
episode: 45, score: 70.0, average score: 56.3, best score: 58.62, epsilon: 0.57, steps: 43267
episode: 46, score: 70.0, average score: 56.6, best score: 58.62, epsilon: 0.56, steps: 44210
episode: 47, score: 50.0, average score: 56.5, best score: 58.62, epsilon: 0.55, steps: 45191
episode: 48, score: 80.0, average score: 56.9, best score: 58.62, epsilon: 0.54, steps: 45851
episode: 49, score: 60.0, average score: 57.0, best score: 58.62, epsilon: 0.53, steps: 46636
episode: 50, score: 50.0, average score: 56.9, best score: 58.62, epsilon: 0.53, steps: 47474
episode: 51, score: 40.0, average score: 56.5, best score: 58.62, epsilon: 0.52, steps: 48216
episode: 52, score: 50.0, average score: 56.4, best score: 58.62, epsilon: 0.51, steps: 49088
episode: 53, score: 50.0, average score: 56.3, best score: 58.62, epsilon: 0.50, steps: 50056
episode: 54, score: 50.0, average score: 56.2, best score: 58.62, epsilon: 0.49, steps: 51160
episode: 55, score: 40.0, average score: 55.9, best score: 58.62, epsilon: 0.48, steps: 52253
episode: 56, score: 30.0, average score: 55.4, best score: 58.62, epsilon: 0.46, steps: 53629
