episode: 0, score: 60.0, average score: 60.0, best score: -inf, epsilon: 0.99, steps: 995
episode: 1, score: 80.0, average score: 70.0, best score: 60.00, epsilon: 0.98, steps: 1830
episode: 2, score: 50.0, average score: 63.3, best score: 70.00, epsilon: 0.97, steps: 2713
episode: 3, score: 60.0, average score: 62.5, best score: 70.00, epsilon: 0.96, steps: 3628
episode: 4, score: 50.0, average score: 60.0, best score: 70.00, epsilon: 0.96, steps: 4501
episode: 5, score: 70.0, average score: 61.7, best score: 70.00, epsilon: 0.95, steps: 5439
episode: 6, score: 30.0, average score: 57.1, best score: 70.00, epsilon: 0.93, steps: 6795
episode: 7, score: 60.0, average score: 57.5, best score: 70.00, epsilon: 0.92, steps: 7851
episode: 8, score: 60.0, average score: 57.8, best score: 70.00, epsilon: 0.92, steps: 8563
episode: 9, score: 40.0, average score: 56.0, best score: 70.00, epsilon: 0.90, steps: 9824
episode: 10, score: 60.0, average score: 56.4, best score: 70.00, epsilon: 0.89, steps: 10831
episode: 11, score: 60.0, average score: 56.7, best score: 70.00, epsilon: 0.88, steps: 11603
episode: 12, score: 60.0, average score: 56.9, best score: 70.00, epsilon: 0.88, steps: 12536
episode: 13, score: 40.0, average score: 55.7, best score: 70.00, epsilon: 0.87, steps: 13493
episode: 14, score: 80.0, average score: 57.3, best score: 70.00, epsilon: 0.86, steps: 14162
episode: 15, score: 60.0, average score: 57.5, best score: 70.00, epsilon: 0.85, steps: 14897
episode: 16, score: 30.0, average score: 55.9, best score: 70.00, epsilon: 0.84, steps: 16118
episode: 17, score: 60.0, average score: 56.1, best score: 70.00, epsilon: 0.83, steps: 17206
episode: 18, score: 70.0, average score: 56.8, best score: 70.00, epsilon: 0.82, steps: 17951
episode: 19, score: 80.0, average score: 58.0, best score: 70.00, epsilon: 0.81, steps: 18709
episode: 20, score: 60.0, average score: 58.1, best score: 70.00, epsilon: 0.81, steps: 19533
episode: 21, score: 60.0, average score: 58.2, best score: 70.00, epsilon: 0.80, steps: 20305
episode: 22, score: 10.0, average score: 56.1, best score: 70.00, epsilon: 0.78, steps: 21673
episode: 23, score: 60.0, average score: 56.2, best score: 70.00, epsilon: 0.77, steps: 22645
episode: 24, score: 70.0, average score: 56.8, best score: 70.00, epsilon: 0.77, steps: 23562
episode: 25, score: 60.0, average score: 56.9, best score: 70.00, epsilon: 0.76, steps: 24350
