episode: 0, score: 45.55500000000008, average score: 45.6, best score: -inf, epsilon: 0.99, steps: 889
episode: 1, score: 0.0, average score: 22.8, best score: 45.56, epsilon: 0.99, steps: 890
episode: 2, score: 0.0, average score: 15.2, best score: 45.56, epsilon: 0.99, steps: 891
episode: 3, score: 0.0, average score: 11.4, best score: 45.56, epsilon: 0.99, steps: 892
episode: 4, score: 0.0, average score: 9.1, best score: 45.56, epsilon: 0.99, steps: 893
episode: 5, score: 0.0, average score: 7.6, best score: 45.56, epsilon: 0.99, steps: 894
episode: 6, score: 0.0, average score: 6.5, best score: 45.56, epsilon: 0.99, steps: 895
episode: 7, score: 0.0, average score: 5.7, best score: 45.56, epsilon: 0.99, steps: 896
episode: 8, score: 0.0, average score: 5.1, best score: 45.56, epsilon: 0.99, steps: 897
episode: 9, score: 0.0, average score: 4.6, best score: 45.56, epsilon: 0.99, steps: 898
episode: 10, score: 0.0, average score: 4.1, best score: 45.56, epsilon: 0.99, steps: 899
episode: 11, score: 0.0, average score: 3.8, best score: 45.56, epsilon: 0.99, steps: 900
episode: 12, score: 0.0, average score: 3.5, best score: 45.56, epsilon: 0.99, steps: 901
episode: 13, score: 0.0, average score: 3.3, best score: 45.56, epsilon: 0.99, steps: 902
episode: 14, score: 0.0, average score: 3.0, best score: 45.56, epsilon: 0.99, steps: 903
episode: 15, score: 0.0, average score: 2.8, best score: 45.56, epsilon: 0.99, steps: 904
episode: 16, score: 0.0, average score: 2.7, best score: 45.56, epsilon: 0.99, steps: 905
episode: 17, score: 0.0, average score: 2.5, best score: 45.56, epsilon: 0.99, steps: 906
episode: 18, score: 0.0, average score: 2.4, best score: 45.56, epsilon: 0.99, steps: 907
episode: 19, score: 0.0, average score: 2.3, best score: 45.56, epsilon: 0.99, steps: 908
episode: 20, score: 0.0, average score: 2.2, best score: 45.56, epsilon: 0.99, steps: 909
episode: 21, score: 0.0, average score: 2.1, best score: 45.56, epsilon: 0.99, steps: 910
episode: 22, score: 0.0, average score: 2.0, best score: 45.56, epsilon: 0.99, steps: 911
episode: 23, score: 0.0, average score: 1.9, best score: 45.56, epsilon: 0.99, steps: 912
episode: 24, score: 0.0, average score: 1.8, best score: 45.56, epsilon: 0.99, steps: 913
episode: 25, score: 0.0, average score: 1.8, best score: 45.56, epsilon: 0.99, steps: 914
episode: 26, score: 0.0, average score: 1.7, best score: 45.56, epsilon: 0.99, steps: 915
episode: 27, score: 0.0, average score: 1.6, best score: 45.56, epsilon: 0.99, steps: 916
episode: 28, score: 0.0, average score: 1.6, best score: 45.56, epsilon: 0.99, steps: 917
episode: 29, score: 0.0, average score: 1.5, best score: 45.56, epsilon: 0.99, steps: 918
episode: 30, score: 0.0, average score: 1.5, best score: 45.56, epsilon: 0.99, steps: 919
episode: 31, score: 0.0, average score: 1.4, best score: 45.56, epsilon: 0.99, steps: 920
episode: 32, score: 0.0, average score: 1.4, best score: 45.56, epsilon: 0.99, steps: 921
episode: 33, score: 0.0, average score: 1.3, best score: 45.56, epsilon: 0.99, steps: 922
episode: 34, score: 0.0, average score: 1.3, best score: 45.56, epsilon: 0.99, steps: 923
episode: 35, score: 0.0, average score: 1.3, best score: 45.56, epsilon: 0.99, steps: 924
episode: 36, score: 0.0, average score: 1.2, best score: 45.56, epsilon: 0.99, steps: 925
episode: 37, score: 0.0, average score: 1.2, best score: 45.56, epsilon: 0.99, steps: 926
episode: 38, score: 0.0, average score: 1.2, best score: 45.56, epsilon: 0.99, steps: 927
