episode: 0, score: 63.769999999997246, average score: 63.8, best score: -inf, epsilon: 0.99, steps: 1246
episode: 1, score: 0.0, average score: 31.9, best score: 63.77, epsilon: 0.99, steps: 1247
episode: 2, score: 0.0, average score: 21.3, best score: 63.77, epsilon: 0.99, steps: 1248
episode: 3, score: 0.0, average score: 15.9, best score: 63.77, epsilon: 0.99, steps: 1249
episode: 4, score: 0.0, average score: 12.8, best score: 63.77, epsilon: 0.99, steps: 1250
episode: 5, score: 0.0, average score: 10.6, best score: 63.77, epsilon: 0.99, steps: 1251
episode: 6, score: 0.0, average score: 9.1, best score: 63.77, epsilon: 0.99, steps: 1252
episode: 7, score: 0.0, average score: 8.0, best score: 63.77, epsilon: 0.99, steps: 1253
episode: 8, score: 0.0, average score: 7.1, best score: 63.77, epsilon: 0.99, steps: 1254
episode: 9, score: 0.0, average score: 6.4, best score: 63.77, epsilon: 0.99, steps: 1255
episode: 10, score: 0.0, average score: 5.8, best score: 63.77, epsilon: 0.99, steps: 1256
episode: 11, score: 0.0, average score: 5.3, best score: 63.77, epsilon: 0.99, steps: 1257
episode: 12, score: 0.0, average score: 4.9, best score: 63.77, epsilon: 0.99, steps: 1258
episode: 13, score: 0.0, average score: 4.6, best score: 63.77, epsilon: 0.99, steps: 1259
episode: 14, score: 0.0, average score: 4.3, best score: 63.77, epsilon: 0.99, steps: 1260
episode: 15, score: 0.0, average score: 4.0, best score: 63.77, epsilon: 0.99, steps: 1261
episode: 16, score: 0.0, average score: 3.8, best score: 63.77, epsilon: 0.99, steps: 1262
episode: 17, score: 0.0, average score: 3.5, best score: 63.77, epsilon: 0.99, steps: 1263
episode: 18, score: 0.0, average score: 3.4, best score: 63.77, epsilon: 0.99, steps: 1264
episode: 19, score: 0.0, average score: 3.2, best score: 63.77, epsilon: 0.99, steps: 1265
episode: 20, score: 0.0, average score: 3.0, best score: 63.77, epsilon: 0.99, steps: 1266
episode: 21, score: 0.0, average score: 2.9, best score: 63.77, epsilon: 0.99, steps: 1267
episode: 22, score: 0.0, average score: 2.8, best score: 63.77, epsilon: 0.99, steps: 1268
episode: 23, score: 0.0, average score: 2.7, best score: 63.77, epsilon: 0.99, steps: 1269
episode: 24, score: 0.0, average score: 2.6, best score: 63.77, epsilon: 0.99, steps: 1270
episode: 25, score: 0.0, average score: 2.5, best score: 63.77, epsilon: 0.99, steps: 1271
episode: 26, score: 0.0, average score: 2.4, best score: 63.77, epsilon: 0.99, steps: 1272
episode: 27, score: 0.0, average score: 2.3, best score: 63.77, epsilon: 0.99, steps: 1273
episode: 28, score: 0.0, average score: 2.2, best score: 63.77, epsilon: 0.99, steps: 1274
episode: 29, score: 0.0, average score: 2.1, best score: 63.77, epsilon: 0.99, steps: 1275
episode: 30, score: 0.0, average score: 2.1, best score: 63.77, epsilon: 0.99, steps: 1276
episode: 31, score: 0.0, average score: 2.0, best score: 63.77, epsilon: 0.99, steps: 1277
episode: 32, score: 0.0, average score: 1.9, best score: 63.77, epsilon: 0.99, steps: 1278
episode: 33, score: 0.0, average score: 1.9, best score: 63.77, epsilon: 0.99, steps: 1279
episode: 34, score: 0.0, average score: 1.8, best score: 63.77, epsilon: 0.99, steps: 1280
episode: 35, score: 0.0, average score: 1.8, best score: 63.77, epsilon: 0.99, steps: 1281
episode: 36, score: 0.0, average score: 1.7, best score: 63.77, epsilon: 0.99, steps: 1282
episode: 37, score: 0.0, average score: 1.7, best score: 63.77, epsilon: 0.99, steps: 1283
episode: 38, score: 0.0, average score: 1.6, best score: 63.77, epsilon: 0.99, steps: 1284
episode: 39, score: 0.0, average score: 1.6, best score: 63.77, epsilon: 0.99, steps: 1285
episode: 40, score: 0.0, average score: 1.6, best score: 63.77, epsilon: 0.99, steps: 1286
episode: 41, score: 0.0, average score: 1.5, best score: 63.77, epsilon: 0.99, steps: 1287
episode: 42, score: 0.0, average score: 1.5, best score: 63.77, epsilon: 0.99, steps: 1288
episode: 43, score: 0.0, average score: 1.4, best score: 63.77, epsilon: 0.99, steps: 1289
episode: 44, score: 0.0, average score: 1.4, best score: 63.77, epsilon: 0.99, steps: 1290
episode: 45, score: 0.0, average score: 1.4, best score: 63.77, epsilon: 0.99, steps: 1291
episode: 46, score: 0.0, average score: 1.4, best score: 63.77, epsilon: 0.99, steps: 1292
episode: 47, score: 0.0, average score: 1.3, best score: 63.77, epsilon: 0.99, steps: 1293
episode: 48, score: 0.0, average score: 1.3, best score: 63.77, epsilon: 0.99, steps: 1294
episode: 49, score: 0.0, average score: 1.3, best score: 63.77, epsilon: 0.99, steps: 1295
episode: 50, score: 0.0, average score: 1.3, best score: 63.77, epsilon: 0.99, steps: 1296
episode: 51, score: 0.0, average score: 1.2, best score: 63.77, epsilon: 0.99, steps: 1297
episode: 52, score: 0.0, average score: 1.2, best score: 63.77, epsilon: 0.99, steps: 1298
episode: 53, score: 0.0, average score: 1.2, best score: 63.77, epsilon: 0.99, steps: 1299
episode: 54, score: 0.0, average score: 1.2, best score: 63.77, epsilon: 0.99, steps: 1300
episode: 55, score: 0.0, average score: 1.1, best score: 63.77, epsilon: 0.99, steps: 1301
episode: 56, score: 0.0, average score: 1.1, best score: 63.77, epsilon: 0.99, steps: 1302
episode: 57, score: 0.0, average score: 1.1, best score: 63.77, epsilon: 0.99, steps: 1303
episode: 58, score: 0.0, average score: 1.1, best score: 63.77, epsilon: 0.99, steps: 1304
