episode: 0, score: 74.99999999999905, average score: 75.0, best score: -inf, epsilon: 0.99, steps: 1000
episode: 1, score: 65.9150000000007, average score: 70.5, best score: 75.00, epsilon: 0.98, steps: 1817
episode: 2, score: 115.57500000000095, average score: 85.5, best score: 75.00, epsilon: 0.97, steps: 2702
episode: 3, score: 96.05000000000024, average score: 88.1, best score: 85.50, epsilon: 0.97, steps: 3492
episode: 4, score: 54.17999999999951, average score: 81.3, best score: 88.14, epsilon: 0.95, steps: 4656
episode: 5, score: 94.68500000000043, average score: 83.6, best score: 88.14, epsilon: 0.94, steps: 5719
episode: 6, score: 16.160000000000366, average score: 73.9, best score: 88.14, epsilon: 0.94, steps: 6487
episode: 7, score: 77.31999999999964, average score: 74.4, best score: 88.14, epsilon: 0.93, steps: 7023
episode: 8, score: 105.71500000000052, average score: 77.8, best score: 88.14, epsilon: 0.92, steps: 7880
episode: 9, score: 65.9500000000009, average score: 76.7, best score: 88.14, epsilon: 0.91, steps: 8690
episode: 10, score: 15.844999999999471, average score: 71.1, best score: 88.14, epsilon: 0.91, steps: 9521
episode: 11, score: 96.44000000000011, average score: 73.2, best score: 88.14, epsilon: 0.90, steps: 10233
episode: 12, score: 93.85000000000055, average score: 74.8, best score: 88.14, epsilon: 0.89, steps: 11463
episode: 13, score: 65.09999999999901, average score: 74.1, best score: 88.14, epsilon: 0.88, steps: 12443
episode: 14, score: -13.829999999999771, average score: 68.3, best score: 88.14, epsilon: 0.87, steps: 13209
episode: 15, score: 65.97999999999897, average score: 68.1, best score: 88.14, epsilon: 0.86, steps: 14013
episode: 16, score: 45.94000000000088, average score: 66.8, best score: 88.14, epsilon: 0.85, steps: 14825
episode: 17, score: 25.50999999999921, average score: 64.5, best score: 88.14, epsilon: 0.84, steps: 15723
episode: 18, score: 14.680000000000092, average score: 61.9, best score: 88.14, epsilon: 0.83, steps: 16787
episode: 19, score: 24.195000000000377, average score: 60.0, best score: 88.14, epsilon: 0.82, steps: 17948
episode: 20, score: 75.00999999999843, average score: 60.7, best score: 88.14, epsilon: 0.81, steps: 18946
episode: 21, score: -153.6049999999999, average score: 51.0, best score: 88.14, epsilon: 0.80, steps: 19667
episode: 22, score: 64.60999999999903, average score: 51.6, best score: 88.14, epsilon: 0.79, steps: 20745
episode: 23, score: 62.739999999999036, average score: 52.0, best score: 88.14, epsilon: 0.78, steps: 22197
episode: 24, score: 24.285000000000004, average score: 50.9, best score: 88.14, epsilon: 0.77, steps: 23340
episode: 25, score: 32.08000000000012, average score: 50.2, best score: 88.14, epsilon: 0.75, steps: 24924
episode: 26, score: 94.89000000000125, average score: 51.9, best score: 88.14, epsilon: 0.74, steps: 25946
episode: 27, score: 62.71499999999928, average score: 52.2, best score: 88.14, epsilon: 0.73, steps: 27403
