episode: 0, score: 65.0, average score: 65.0, best score: -inf, epsilon: 0.98, steps: 2553
episode: 1, score: -140.0, average score: -37.5, best score: 65.00, epsilon: 0.96, steps: 4056
episode: 2, score: -130.0, average score: -68.3, best score: 65.00, epsilon: 0.95, steps: 5390
episode: 3, score: -80.0, average score: -71.2, best score: 65.00, epsilon: 0.93, steps: 6592
episode: 4, score: 185.0, average score: -20.0, best score: 65.00, epsilon: 0.91, steps: 9357
episode: 5, score: -55.0, average score: -25.8, best score: 65.00, epsilon: 0.89, steps: 10630
episode: 6, score: 5.0, average score: -21.4, best score: 65.00, epsilon: 0.87, steps: 12609
episode: 7, score: 75.0, average score: -9.4, best score: 65.00, epsilon: 0.85, steps: 14577
episode: 8, score: 45.0, average score: -3.3, best score: 65.00, epsilon: 0.84, steps: 16306
episode: 9, score: -115.0, average score: -14.5, best score: 65.00, epsilon: 0.83, steps: 17447
episode: 10, score: -20.0, average score: -15.0, best score: 65.00, epsilon: 0.81, steps: 19169
episode: 11, score: -55.0, average score: -18.3, best score: 65.00, epsilon: 0.80, steps: 20551
episode: 12, score: 105.0, average score: -8.8, best score: 65.00, epsilon: 0.77, steps: 22681
episode: 13, score: 70.0, average score: -3.2, best score: 65.00, epsilon: 0.75, steps: 24613
episode: 14, score: -50.0, average score: -6.3, best score: 65.00, epsilon: 0.74, steps: 26316
episode: 15, score: -25.0, average score: -7.5, best score: 65.00, epsilon: 0.72, steps: 27578
episode: 16, score: 65.0, average score: -3.2, best score: 65.00, epsilon: 0.71, steps: 29265
episode: 17, score: 50.0, average score: -0.3, best score: 65.00, epsilon: 0.69, steps: 30841
episode: 18, score: -90.0, average score: -5.0, best score: 65.00, epsilon: 0.68, steps: 32420
episode: 19, score: -170.0, average score: -13.2, best score: 65.00, epsilon: 0.66, steps: 33625
episode: 20, score: 85.0, average score: -8.6, best score: 65.00, epsilon: 0.64, steps: 35992
episode: 21, score: -50.0, average score: -10.5, best score: 65.00, epsilon: 0.62, steps: 37680
episode: 22, score: -25.0, average score: -11.1, best score: 65.00, epsilon: 0.61, steps: 39405
episode: 23, score: -65.0, average score: -13.3, best score: 65.00, epsilon: 0.59, steps: 41399
episode: 24, score: 50.0, average score: -10.8, best score: 65.00, epsilon: 0.57, steps: 43530
episode: 25, score: -55.0, average score: -12.5, best score: 65.00, epsilon: 0.55, steps: 45165
episode: 26, score: 5.0, average score: -11.9, best score: 65.00, epsilon: 0.53, steps: 47274
episode: 27, score: -175.0, average score: -17.7, best score: 65.00, epsilon: 0.52, steps: 48419
episode: 28, score: -140.0, average score: -21.9, best score: 65.00, epsilon: 0.50, steps: 49993
episode: 29, score: 55.0, average score: -19.3, best score: 65.00, epsilon: 0.48, steps: 52332
episode: 30, score: 25.0, average score: -17.9, best score: 65.00, epsilon: 0.46, steps: 54474
episode: 31, score: 205.0, average score: -10.9, best score: 65.00, epsilon: 0.42, steps: 57892
episode: 32, score: -85.0, average score: -13.2, best score: 65.00, epsilon: 0.40, steps: 59609
episode: 33, score: -70.0, average score: -14.9, best score: 65.00, epsilon: 0.39, steps: 61386
episode: 34, score: 55.0, average score: -12.9, best score: 65.00, epsilon: 0.37, steps: 63270
