episode: 0, score: 10, average score: 10.0, best score: -inf, epsilon: 0.98, steps: 1756
episode: 1, score: 110, average score: 60.0, best score: 10.00, epsilon: 0.96, steps: 4127
episode: 2, score: -70, average score: 16.7, best score: 60.00, epsilon: 0.95, steps: 5259
episode: 3, score: 40, average score: 22.5, best score: 60.00, epsilon: 0.93, steps: 7092
episode: 4, score: -40, average score: 10.0, best score: 60.00, epsilon: 0.91, steps: 8918
episode: 5, score: -20, average score: 5.0, best score: 60.00, epsilon: 0.89, steps: 10743
episode: 6, score: -10, average score: 2.9, best score: 60.00, epsilon: 0.88, steps: 12415
episode: 7, score: -30, average score: -1.2, best score: 60.00, epsilon: 0.86, steps: 14260
episode: 8, score: -20, average score: -3.3, best score: 60.00, epsilon: 0.84, steps: 15857
episode: 9, score: -90, average score: -12.0, best score: 60.00, epsilon: 0.83, steps: 17183
episode: 10, score: 90, average score: -2.7, best score: 60.00, epsilon: 0.80, steps: 20067
episode: 11, score: 70, average score: 3.3, best score: 60.00, epsilon: 0.78, steps: 22325
episode: 12, score: -50, average score: -0.8, best score: 60.00, epsilon: 0.76, steps: 23755
episode: 13, score: -20, average score: -2.1, best score: 60.00, epsilon: 0.75, steps: 25500
episode: 14, score: -20, average score: -3.3, best score: 60.00, epsilon: 0.73, steps: 26855
episode: 15, score: 40, average score: -0.6, best score: 60.00, epsilon: 0.71, steps: 28982
episode: 16, score: 40, average score: 1.8, best score: 60.00, epsilon: 0.69, steps: 31342
episode: 17, score: 60, average score: 5.0, best score: 60.00, epsilon: 0.66, steps: 33566
episode: 18, score: -40, average score: 2.6, best score: 60.00, epsilon: 0.65, steps: 35146
episode: 19, score: -40, average score: 0.5, best score: 60.00, epsilon: 0.63, steps: 36905
episode: 20, score: 0, average score: 0.5, best score: 60.00, epsilon: 0.61, steps: 38925
episode: 21, score: -40, average score: -1.4, best score: 60.00, epsilon: 0.59, steps: 40660
episode: 22, score: 60, average score: 1.3, best score: 60.00, epsilon: 0.57, steps: 43013
episode: 23, score: 170, average score: 8.3, best score: 60.00, epsilon: 0.54, steps: 45976
episode: 24, score: -30, average score: 6.8, best score: 60.00, epsilon: 0.52, steps: 47851
episode: 25, score: -30, average score: 5.4, best score: 60.00, epsilon: 0.50, steps: 49792
episode: 26, score: 40, average score: 6.7, best score: 60.00, epsilon: 0.48, steps: 51850
episode: 27, score: 10, average score: 6.8, best score: 60.00, epsilon: 0.46, steps: 53948
episode: 28, score: -20, average score: 5.9, best score: 60.00, epsilon: 0.45, steps: 55432
episode: 29, score: 20, average score: 6.3, best score: 60.00, epsilon: 0.43, steps: 57315
episode: 30, score: -60, average score: 4.2, best score: 60.00, epsilon: 0.41, steps: 58705
episode: 31, score: 10, average score: 4.4, best score: 60.00, epsilon: 0.40, steps: 60562
episode: 32, score: -30, average score: 3.3, best score: 60.00, epsilon: 0.38, steps: 61940
episode: 33, score: 0, average score: 3.2, best score: 60.00, epsilon: 0.36, steps: 64060
episode: 34, score: 100, average score: 6.0, best score: 60.00, epsilon: 0.34, steps: 66276
episode: 35, score: -20, average score: 5.3, best score: 60.00, epsilon: 0.32, steps: 67933
episode: 36, score: -50, average score: 3.8, best score: 60.00, epsilon: 0.30, steps: 69577
episode: 37, score: -50, average score: 2.4, best score: 60.00, epsilon: 0.29, steps: 71059
episode: 38, score: 10, average score: 2.6, best score: 60.00, epsilon: 0.27, steps: 72671
episode: 39, score: -20, average score: 2.0, best score: 60.00, epsilon: 0.26, steps: 74387
episode: 40, score: -60, average score: 0.5, best score: 60.00, epsilon: 0.24, steps: 75697
