episode: 0, score: 70, average score: 70.0, best score: -inf, epsilon: 0.98, steps: 1706
episode: 1, score: 45, average score: 57.5, best score: 70.00, epsilon: 0.96, steps: 3568
episode: 2, score: 180, average score: 98.3, best score: 70.00, epsilon: 0.95, steps: 5434
episode: 3, score: 35, average score: 82.5, best score: 98.33, epsilon: 0.92, steps: 7679
episode: 4, score: -115, average score: 43.0, best score: 98.33, epsilon: 0.91, steps: 9012
episode: 5, score: 255, average score: 78.3, best score: 98.33, epsilon: 0.89, steps: 11172
episode: 6, score: -110, average score: 51.4, best score: 98.33, epsilon: 0.87, steps: 12660
episode: 7, score: 175, average score: 66.9, best score: 98.33, epsilon: 0.85, steps: 14741
episode: 8, score: 220, average score: 83.9, best score: 98.33, epsilon: 0.83, steps: 16743
episode: 9, score: 20, average score: 77.5, best score: 98.33, epsilon: 0.81, steps: 18726
episode: 10, score: -165, average score: 55.5, best score: 98.33, epsilon: 0.80, steps: 19953
episode: 11, score: 30, average score: 53.3, best score: 98.33, epsilon: 0.78, steps: 22089
episode: 12, score: -70, average score: 43.8, best score: 98.33, epsilon: 0.77, steps: 23552
episode: 13, score: -55, average score: 36.8, best score: 98.33, epsilon: 0.75, steps: 25236
episode: 14, score: -90, average score: 28.3, best score: 98.33, epsilon: 0.73, steps: 26749
episode: 15, score: 60, average score: 30.3, best score: 98.33, epsilon: 0.71, steps: 28576
episode: 16, score: 130, average score: 36.2, best score: 98.33, epsilon: 0.70, steps: 30523
episode: 17, score: 355, average score: 53.9, best score: 98.33, epsilon: 0.67, steps: 32943
episode: 18, score: -50, average score: 48.4, best score: 98.33, epsilon: 0.65, steps: 34872
episode: 19, score: 120, average score: 52.0, best score: 98.33, epsilon: 0.63, steps: 37432
episode: 20, score: 50, average score: 51.9, best score: 98.33, epsilon: 0.61, steps: 39205
episode: 21, score: 90, average score: 53.6, best score: 98.33, epsilon: 0.59, steps: 41054
episode: 22, score: 100, average score: 55.7, best score: 98.33, epsilon: 0.57, steps: 43119
