episode: 0, score: 0.0, average score: 0.0, best score: -inf, epsilon: 0.98, steps: 2002
episode: 1, score: -40.0, average score: -20.0, best score: 0.00, epsilon: 0.96, steps: 3667
episode: 2, score: -10.0, average score: -16.7, best score: 0.00, epsilon: 0.94, steps: 5669
episode: 3, score: 90.0, average score: 10.0, best score: 0.00, epsilon: 0.92, steps: 8153
episode: 4, score: -10.0, average score: 6.0, best score: 10.00, epsilon: 0.90, steps: 9808
episode: 5, score: -40.0, average score: -1.7, best score: 10.00, epsilon: 0.89, steps: 11346
episode: 6, score: 20.0, average score: 1.4, best score: 10.00, epsilon: 0.87, steps: 13561
episode: 7, score: -110.0, average score: -12.5, best score: 10.00, epsilon: 0.86, steps: 14516
episode: 8, score: -50.0, average score: -16.7, best score: 10.00, epsilon: 0.84, steps: 16067
episode: 9, score: -80.0, average score: -23.0, best score: 10.00, epsilon: 0.83, steps: 17241
episode: 10, score: -60.0, average score: -26.4, best score: 10.00, epsilon: 0.81, steps: 18707
episode: 11, score: 90.0, average score: -16.7, best score: 10.00, epsilon: 0.79, steps: 21052
episode: 12, score: 10.0, average score: -14.6, best score: 10.00, epsilon: 0.77, steps: 22841
episode: 13, score: -10.0, average score: -14.3, best score: 10.00, epsilon: 0.76, steps: 24438
episode: 14, score: -40.0, average score: -16.0, best score: 10.00, epsilon: 0.74, steps: 25696
episode: 15, score: 60.0, average score: -11.2, best score: 10.00, epsilon: 0.72, steps: 27833
episode: 16, score: 20.0, average score: -9.4, best score: 10.00, epsilon: 0.70, steps: 29608
episode: 17, score: -30.0, average score: -10.6, best score: 10.00, epsilon: 0.69, steps: 31219
episode: 18, score: -10.0, average score: -10.5, best score: 10.00, epsilon: 0.67, steps: 33220
episode: 19, score: -110.0, average score: -15.5, best score: 10.00, epsilon: 0.65, steps: 34787
episode: 20, score: -10.0, average score: -15.2, best score: 10.00, epsilon: 0.64, steps: 36546
episode: 21, score: 50.0, average score: -12.3, best score: 10.00, epsilon: 0.61, steps: 38914
episode: 22, score: 20.0, average score: -10.9, best score: 10.00, epsilon: 0.59, steps: 40633
episode: 23, score: -40.0, average score: -12.1, best score: 10.00, epsilon: 0.58, steps: 42231
episode: 24, score: -30.0, average score: -12.8, best score: 10.00, epsilon: 0.56, steps: 44068
episode: 25, score: 80.0, average score: -9.2, best score: 10.00, epsilon: 0.54, steps: 46560
episode: 26, score: -110.0, average score: -13.0, best score: 10.00, epsilon: 0.52, steps: 47889
episode: 27, score: 10.0, average score: -12.1, best score: 10.00, epsilon: 0.50, steps: 49803
episode: 28, score: -30.0, average score: -12.8, best score: 10.00, epsilon: 0.49, steps: 51123
episode: 29, score: -50.0, average score: -14.0, best score: 10.00, epsilon: 0.47, steps: 52677
episode: 30, score: 10.0, average score: -13.2, best score: 10.00, epsilon: 0.45, steps: 54601
episode: 31, score: 90.0, average score: -10.0, best score: 10.00, epsilon: 0.43, steps: 57262
episode: 32, score: -80.0, average score: -12.1, best score: 10.00, epsilon: 0.41, steps: 58697
episode: 33, score: 140.0, average score: -7.6, best score: 10.00, epsilon: 0.39, steps: 61382
episode: 34, score: 40.0, average score: -6.3, best score: 10.00, epsilon: 0.37, steps: 63314
episode: 35, score: -70.0, average score: -8.1, best score: 10.00, epsilon: 0.35, steps: 64889
episode: 36, score: 0.0, average score: -7.8, best score: 10.00, epsilon: 0.33, steps: 66821
episode: 37, score: -40.0, average score: -8.7, best score: 10.00, epsilon: 0.32, steps: 68559
episode: 38, score: -30.0, average score: -9.2, best score: 10.00, epsilon: 0.30, steps: 70483
episode: 39, score: -60.0, average score: -10.5, best score: 10.00, epsilon: 0.28, steps: 72383
episode: 40, score: -70.0, average score: -12.0, best score: 10.00, epsilon: 0.26, steps: 73904
episode: 41, score: -20.0, average score: -12.1, best score: 10.00, epsilon: 0.24, steps: 75841
episode: 42, score: -70.0, average score: -13.5, best score: 10.00, epsilon: 0.22, steps: 77672
episode: 43, score: -60.0, average score: -14.5, best score: 10.00, epsilon: 0.21, steps: 79403
episode: 44, score: -40.0, average score: -15.1, best score: 10.00, epsilon: 0.18, steps: 81670
episode: 45, score: -10.0, average score: -15.0, best score: 10.00, epsilon: 0.17, steps: 83486
episode: 46, score: -50.0, average score: -15.7, best score: 10.00, epsilon: 0.15, steps: 85412
