episode: 0, score: 50.0, average score: 50.0, best score: -inf, epsilon: 0.99, steps: 754
episode: 1, score: 20.0, average score: 35.0, best score: 50.00, epsilon: 0.99, steps: 1520
episode: 2, score: -30.0, average score: 13.3, best score: 50.00, epsilon: 0.98, steps: 2276
episode: 3, score: -30.0, average score: 2.5, best score: 50.00, epsilon: 0.97, steps: 2981
episode: 4, score: -30.0, average score: -4.0, best score: 50.00, epsilon: 0.97, steps: 3521
episode: 5, score: 50.0, average score: 5.0, best score: 50.00, epsilon: 0.96, steps: 4427
episode: 6, score: 50.0, average score: 11.4, best score: 50.00, epsilon: 0.95, steps: 5271
episode: 7, score: -80.0, average score: 0.0, best score: 50.00, epsilon: 0.94, steps: 5904
episode: 8, score: -40.0, average score: -4.4, best score: 50.00, epsilon: 0.93, steps: 6599
episode: 9, score: -40.0, average score: -8.0, best score: 50.00, epsilon: 0.93, steps: 7147
episode: 10, score: -20.0, average score: -9.1, best score: 50.00, epsilon: 0.92, steps: 8061
episode: 11, score: -50.0, average score: -12.5, best score: 50.00, epsilon: 0.91, steps: 8871
episode: 12, score: -50.0, average score: -15.4, best score: 50.00, epsilon: 0.91, steps: 9252
episode: 13, score: 40.0, average score: -11.4, best score: 50.00, epsilon: 0.90, steps: 10152
episode: 14, score: -50.0, average score: -14.0, best score: 50.00, epsilon: 0.89, steps: 10836
episode: 15, score: 40.0, average score: -10.6, best score: 50.00, epsilon: 0.88, steps: 12561
episode: 16, score: -20.0, average score: -11.2, best score: 50.00, epsilon: 0.87, steps: 13064
episode: 17, score: 20.0, average score: -9.4, best score: 50.00, epsilon: 0.86, steps: 13701
episode: 18, score: -50.0, average score: -11.6, best score: 50.00, epsilon: 0.86, steps: 14457
episode: 19, score: 50.0, average score: -8.5, best score: 50.00, epsilon: 0.85, steps: 15126
episode: 20, score: -20.0, average score: -9.0, best score: 50.00, epsilon: 0.84, steps: 16095
episode: 21, score: -40.0, average score: -10.5, best score: 50.00, epsilon: 0.83, steps: 16834
episode: 22, score: 30.0, average score: -8.7, best score: 50.00, epsilon: 0.83, steps: 17506
episode: 23, score: -40.0, average score: -10.0, best score: 50.00, epsilon: 0.82, steps: 18090
episode: 24, score: -30.0, average score: -10.8, best score: 50.00, epsilon: 0.81, steps: 19039
episode: 25, score: -30.0, average score: -11.5, best score: 50.00, epsilon: 0.80, steps: 19812
episode: 26, score: -60.0, average score: -13.3, best score: 50.00, epsilon: 0.79, steps: 20678
episode: 27, score: 30.0, average score: -11.8, best score: 50.00, epsilon: 0.79, steps: 21492
episode: 28, score: -30.0, average score: -12.4, best score: 50.00, epsilon: 0.78, steps: 22220
episode: 29, score: 20.0, average score: -11.3, best score: 50.00, epsilon: 0.77, steps: 23434
episode: 30, score: 50.0, average score: -9.4, best score: 50.00, epsilon: 0.76, steps: 24218
episode: 31, score: -50.0, average score: -10.6, best score: 50.00, epsilon: 0.75, steps: 24913
episode: 32, score: -30.0, average score: -11.2, best score: 50.00, epsilon: 0.74, steps: 26240
episode: 33, score: -40.0, average score: -12.1, best score: 50.00, epsilon: 0.73, steps: 27103
episode: 34, score: -20.0, average score: -12.3, best score: 50.00, epsilon: 0.72, steps: 27894
episode: 35, score: -20.0, average score: -12.5, best score: 50.00, epsilon: 0.71, steps: 28607
episode: 36, score: -70.0, average score: -14.1, best score: 50.00, epsilon: 0.70, steps: 30154
episode: 37, score: -50.0, average score: -15.0, best score: 50.00, epsilon: 0.69, steps: 30673
episode: 38, score: 60.0, average score: -13.1, best score: 50.00, epsilon: 0.67, steps: 33373
episode: 39, score: -40.0, average score: -13.8, best score: 50.00, epsilon: 0.66, steps: 33881
episode: 40, score: -40.0, average score: -14.4, best score: 50.00, epsilon: 0.58, steps: 42011
episode: 41, score: 100.0, average score: -11.7, best score: 50.00, epsilon: 0.42, steps: 58107
episode: 42, score: 20.0, average score: -10.9, best score: 50.00, epsilon: 0.36, steps: 64049
episode: 43, score: -50.0, average score: -11.8, best score: 50.00, epsilon: 0.33, steps: 67216
episode: 44, score: -30.0, average score: -12.2, best score: 50.00, epsilon: 0.32, steps: 67874
episode: 45, score: 50.0, average score: -10.9, best score: 50.00, epsilon: 0.31, steps: 68842
episode: 46, score: 40.0, average score: -9.8, best score: 50.00, epsilon: 0.31, steps: 69543
