episode: 0, score: -40.0, average score: -40.0, best score: -inf, epsilon: 0.99, steps: 764
episode: 1, score: -20.0, average score: -30.0, best score: -40.00, epsilon: 0.99, steps: 1307
episode: 2, score: 40.0, average score: -6.7, best score: -30.00, epsilon: 0.98, steps: 2090
episode: 3, score: 50.0, average score: 7.5, best score: -6.67, epsilon: 0.97, steps: 2888
episode: 4, score: -80.0, average score: -10.0, best score: 7.50, epsilon: 0.97, steps: 3440
episode: 5, score: -20.0, average score: -11.7, best score: 7.50, epsilon: 0.96, steps: 4390
episode: 6, score: -40.0, average score: -15.7, best score: 7.50, epsilon: 0.95, steps: 5061
episode: 7, score: -40.0, average score: -18.8, best score: 7.50, epsilon: 0.94, steps: 5801
episode: 8, score: -50.0, average score: -22.2, best score: 7.50, epsilon: 0.93, steps: 6608
episode: 9, score: 30.0, average score: -17.0, best score: 7.50, epsilon: 0.93, steps: 7453
episode: 10, score: -50.0, average score: -20.0, best score: 7.50, epsilon: 0.92, steps: 8317
episode: 11, score: -40.0, average score: -21.7, best score: 7.50, epsilon: 0.91, steps: 8917
episode: 12, score: -20.0, average score: -21.5, best score: 7.50, epsilon: 0.91, steps: 9563
episode: 13, score: 60.0, average score: -15.7, best score: 7.50, epsilon: 0.89, steps: 10742
episode: 14, score: 60.0, average score: -10.7, best score: 7.50, epsilon: 0.89, steps: 11230
episode: 15, score: -70.0, average score: -14.4, best score: 7.50, epsilon: 0.87, steps: 12723
episode: 16, score: -60.0, average score: -17.1, best score: 7.50, epsilon: 0.87, steps: 13443
episode: 17, score: -20.0, average score: -17.2, best score: 7.50, epsilon: 0.86, steps: 14392
episode: 18, score: -40.0, average score: -18.4, best score: 7.50, epsilon: 0.84, steps: 15601
episode: 19, score: 20.0, average score: -16.5, best score: 7.50, epsilon: 0.82, steps: 18046
episode: 20, score: -60.0, average score: -18.6, best score: 7.50, epsilon: 0.78, steps: 21817
episode: 21, score: -20.0, average score: -18.6, best score: 7.50, epsilon: 0.77, steps: 22751
episode: 22, score: -50.0, average score: -20.0, best score: 7.50, epsilon: 0.76, steps: 23636
episode: 23, score: -40.0, average score: -20.8, best score: 7.50, epsilon: 0.73, steps: 27376
episode: 24, score: -40.0, average score: -21.6, best score: 7.50, epsilon: 0.71, steps: 28598
episode: 25, score: -70.0, average score: -23.5, best score: 7.50, epsilon: 0.71, steps: 29048
episode: 26, score: 30.0, average score: -21.5, best score: 7.50, epsilon: 0.70, steps: 29654
episode: 27, score: 20.0, average score: -20.0, best score: 7.50, epsilon: 0.70, steps: 30515
episode: 28, score: -50.0, average score: -21.0, best score: 7.50, epsilon: 0.69, steps: 31139
episode: 29, score: -50.0, average score: -22.0, best score: 7.50, epsilon: 0.68, steps: 31628
episode: 30, score: 30.0, average score: -20.3, best score: 7.50, epsilon: 0.67, steps: 33492
episode: 31, score: 30.0, average score: -18.8, best score: 7.50, epsilon: 0.61, steps: 38768
