episode: 0, score: -50.0, average score: -50.0, best score: -50.00, steps: 537
episode: 1, score: -30.0, average score: -40.0, best score: -40.00, steps: 1803
episode: 2, score: 30.0, average score: -16.7, best score: -16.67, steps: 2470
episode: 3, score: -30.0, average score: -20.0, best score: -16.67, steps: 3358
episode: 4, score: -20.0, average score: -20.0, best score: -16.67, steps: 4331
episode: 5, score: -50.0, average score: -25.0, best score: -16.67, steps: 4964
episode: 6, score: -40.0, average score: -27.1, best score: -16.67, steps: 5618
episode: 7, score: 30.0, average score: -20.0, best score: -16.67, steps: 6424
episode: 8, score: 50.0, average score: -12.2, best score: -12.22, steps: 7071
episode: 9, score: -60.0, average score: -17.0, best score: -12.22, steps: 7697
episode: 10, score: 60.0, average score: -10.0, best score: -10.00, steps: 8641
episode: 11, score: -60.0, average score: -14.2, best score: -10.00, steps: 9307
episode: 12, score: -50.0, average score: -16.9, best score: -10.00, steps: 9864
episode: 13, score: -50.0, average score: -19.3, best score: -10.00, steps: 10552
episode: 14, score: 30.0, average score: -16.0, best score: -10.00, steps: 11174
episode: 15, score: -40.0, average score: -17.5, best score: -10.00, steps: 11684
episode: 16, score: -40.0, average score: -18.8, best score: -10.00, steps: 12541
episode: 17, score: -50.0, average score: -20.6, best score: -10.00, steps: 13239
episode: 18, score: -30.0, average score: -21.1, best score: -10.00, steps: 14094
episode: 19, score: -40.0, average score: -22.0, best score: -10.00, steps: 14809
episode: 20, score: 40.0, average score: -19.0, best score: -10.00, steps: 15463
episode: 21, score: -20.0, average score: -19.1, best score: -10.00, steps: 16058
episode: 22, score: -20.0, average score: -19.1, best score: -10.00, steps: 16809
episode: 23, score: 50.0, average score: -16.2, best score: -10.00, steps: 17580
episode: 24, score: -30.0, average score: -16.8, best score: -10.00, steps: 18787
episode: 25, score: 40.0, average score: -14.6, best score: -10.00, steps: 19737
episode: 26, score: 50.0, average score: -12.2, best score: -10.00, steps: 21200
episode: 27, score: 30.0, average score: -10.7, best score: -10.00, steps: 21698
episode: 28, score: 50.0, average score: -8.6, best score: -8.62, steps: 22337
episode: 29, score: -70.0, average score: -10.7, best score: -8.62, steps: 22711
episode: 30, score: 30.0, average score: -9.4, best score: -8.62, steps: 26428
episode: 31, score: 20.0, average score: -8.4, best score: -8.44, steps: 28819
episode: 32, score: -20.0, average score: -8.8, best score: -8.44, steps: 29417
episode: 33, score: 20.0, average score: -7.9, best score: -7.94, steps: 30328
episode: 34, score: -30.0, average score: -8.6, best score: -7.94, steps: 31192
episode: 35, score: 20.0, average score: -7.8, best score: -7.78, steps: 32111
episode: 36, score: 30.0, average score: -6.8, best score: -6.76, steps: 32950
episode: 37, score: -50.0, average score: -7.9, best score: -6.76, steps: 33570
episode: 38, score: -30.0, average score: -8.5, best score: -6.76, steps: 34202
episode: 39, score: -30.0, average score: -9.0, best score: -6.76, steps: 34975
episode: 40, score: -30.0, average score: -9.5, best score: -6.76, steps: 35478
episode: 41, score: 50.0, average score: -8.1, best score: -6.76, steps: 36414
episode: 42, score: -90.0, average score: -10.0, best score: -6.76, steps: 36959
episode: 43, score: -50.0, average score: -10.9, best score: -6.76, steps: 37563
episode: 44, score: -50.0, average score: -11.8, best score: -6.76, steps: 40568
episode: 45, score: -20.0, average score: -12.0, best score: -6.76, steps: 41255
episode: 46, score: -60.0, average score: -13.0, best score: -6.76, steps: 41784
episode: 47, score: 90.0, average score: -10.8, best score: -6.76, steps: 42426
episode: 48, score: -80.0, average score: -12.2, best score: -6.76, steps: 42806
episode: 49, score: -90.0, average score: -13.8, best score: -6.76, steps: 43214
episode: 50, score: 80.0, average score: -12.0, best score: -6.76, steps: 43849
episode: 51, score: -60.0, average score: -12.9, best score: -6.76, steps: 44273
episode: 52, score: -30.0, average score: -13.2, best score: -6.76, steps: 45092
episode: 53, score: -90.0, average score: -14.6, best score: -6.76, steps: 47839
episode: 54, score: -90.0, average score: -16.0, best score: -6.76, steps: 545518
episode: 55, score: -110.0, average score: -17.7, best score: -6.76, steps: 549591
episode: 56, score: -100.0, average score: -19.1, best score: -6.76, steps: 816218
