episode: 0, score: -42.99500000000043, average score: -43.0, best score: -inf, epsilon: 1.00, steps: 599
episode: 1, score: 26.53500000000014, average score: -8.2, best score: -43.00, epsilon: 1.00, steps: 1292
episode: 2, score: -74.02000000000066, average score: -30.2, best score: -8.23, epsilon: 1.00, steps: 2096
episode: 3, score: -24.430000000000046, average score: -28.7, best score: -8.23, epsilon: 1.00, steps: 2982
episode: 4, score: 36.850000000000264, average score: -15.6, best score: -8.23, epsilon: 1.00, steps: 3612
episode: 5, score: 15.57999999999982, average score: -10.4, best score: -8.23, epsilon: 1.00, steps: 4496
episode: 6, score: 26.260000000000176, average score: -5.2, best score: -8.23, epsilon: 1.00, steps: 5244
episode: 7, score: -42.764999999999944, average score: -9.9, best score: -5.17, epsilon: 1.00, steps: 5797
episode: 8, score: -42.66500000000003, average score: -13.5, best score: -5.17, epsilon: 1.00, steps: 6330
episode: 9, score: 15.599999999999717, average score: -10.6, best score: -5.17, epsilon: 1.00, steps: 7210
episode: 10, score: -33.33499999999993, average score: -12.7, best score: -5.17, epsilon: 1.00, steps: 7877
episode: 11, score: -53.27500000000007, average score: -16.1, best score: -5.17, epsilon: 1.00, steps: 8532
episode: 12, score: -26.025000000000134, average score: -16.8, best score: -5.17, epsilon: 1.00, steps: 9737
episode: 13, score: 35.51000000000009, average score: -13.1, best score: -5.17, epsilon: 1.00, steps: 10635
episode: 14, score: -52.09999999999974, average score: -15.7, best score: -5.17, epsilon: 1.00, steps: 11055
episode: 15, score: 25.095000000000006, average score: -13.1, best score: -5.17, epsilon: 1.00, steps: 12036
episode: 16, score: -73.2750000000004, average score: -16.7, best score: -5.17, epsilon: 1.00, steps: 12691
episode: 17, score: 16.35499999999956, average score: -14.8, best score: -5.17, epsilon: 1.00, steps: 13420
episode: 18, score: -45.435000000000706, average score: -16.4, best score: -5.17, epsilon: 1.00, steps: 14507
episode: 19, score: 16.199999999999907, average score: -14.8, best score: -5.17, epsilon: 1.00, steps: 15267
episode: 20, score: -52.840000000000096, average score: -16.6, best score: -5.17, epsilon: 1.00, steps: 15835
episode: 21, score: 26.840000000000366, average score: -14.7, best score: -5.17, epsilon: 1.00, steps: 16467
