episode: 0, score: 50.0, average score: 50.0, best score: -inf, epsilon: 0.99, steps: 1131
episode: 1, score: 80.0, average score: 65.0, best score: 50.00, epsilon: 0.98, steps: 1990
episode: 2, score: 60.0, average score: 63.3, best score: 65.00, epsilon: 0.97, steps: 2971
episode: 3, score: 70.0, average score: 65.0, best score: 65.00, epsilon: 0.96, steps: 4336
episode: 4, score: 50.0, average score: 62.0, best score: 65.00, epsilon: 0.95, steps: 5216
episode: 5, score: 60.0, average score: 61.7, best score: 65.00, epsilon: 0.94, steps: 6103
episode: 6, score: 70.0, average score: 62.9, best score: 65.00, epsilon: 0.93, steps: 6954
episode: 7, score: 60.0, average score: 62.5, best score: 65.00, epsilon: 0.92, steps: 7679
episode: 8, score: 60.0, average score: 62.2, best score: 65.00, epsilon: 0.92, steps: 8560
episode: 9, score: 50.0, average score: 61.0, best score: 65.00, epsilon: 0.90, steps: 9716
episode: 10, score: 70.0, average score: 61.8, best score: 65.00, epsilon: 0.89, steps: 10576
episode: 11, score: 50.0, average score: 60.8, best score: 65.00, epsilon: 0.88, steps: 11589
episode: 12, score: 60.0, average score: 60.8, best score: 65.00, epsilon: 0.87, steps: 13160
episode: 13, score: 40.0, average score: 59.3, best score: 65.00, epsilon: 0.86, steps: 14303
episode: 14, score: 70.0, average score: 60.0, best score: 65.00, epsilon: 0.85, steps: 15224
episode: 15, score: 30.0, average score: 58.1, best score: 65.00, epsilon: 0.84, steps: 16189
episode: 16, score: 50.0, average score: 57.6, best score: 65.00, epsilon: 0.83, steps: 17502
episode: 17, score: 60.0, average score: 57.8, best score: 65.00, epsilon: 0.82, steps: 18491
episode: 18, score: 60.0, average score: 57.9, best score: 65.00, epsilon: 0.81, steps: 19288
episode: 19, score: 50.0, average score: 57.5, best score: 65.00, epsilon: 0.80, steps: 20225
episode: 20, score: 50.0, average score: 57.1, best score: 65.00, epsilon: 0.79, steps: 21298
episode: 21, score: 40.0, average score: 56.4, best score: 65.00, epsilon: 0.78, steps: 22512
episode: 22, score: 50.0, average score: 56.1, best score: 65.00, epsilon: 0.77, steps: 23379
episode: 23, score: 70.0, average score: 56.7, best score: 65.00, epsilon: 0.76, steps: 24205
episode: 24, score: 100.0, average score: 58.4, best score: 65.00, epsilon: 0.75, steps: 24930
episode: 25, score: 50.0, average score: 58.1, best score: 65.00, epsilon: 0.74, steps: 26070
