episode: 0, score: 74.95999999999884, average score: 75.0, best score: -inf, epsilon: 0.49, steps: 1008
episode: 1, score: 44.98500000000048, average score: 60.0, best score: 74.96, epsilon: 0.48, steps: 2011
episode: 2, score: 43.37500000000005, average score: 54.4, best score: 74.96, epsilon: 0.47, steps: 3336
episode: 3, score: 75.93000000000059, average score: 59.8, best score: 74.96, epsilon: 0.46, steps: 4150
episode: 4, score: -13.78999999999975, average score: 45.1, best score: 74.96, epsilon: 0.45, steps: 4908
episode: 5, score: 105.1250000000016, average score: 55.1, best score: 74.96, epsilon: 0.44, steps: 5883
episode: 6, score: 55.98999999999961, average score: 55.2, best score: 74.96, epsilon: 0.43, steps: 6685
episode: 7, score: -203.84999999999954, average score: 22.8, best score: 74.96, epsilon: 0.43, steps: 7455
episode: 8, score: -183.84000000000074, average score: -0.1, best score: 74.96, epsilon: 0.42, steps: 8223
episode: 9, score: -13.770000000000698, average score: -1.5, best score: 74.96, epsilon: 0.41, steps: 8977
episode: 10, score: 35.97999999999879, average score: 1.9, best score: 74.96, epsilon: 0.40, steps: 9781
episode: 11, score: -73.80000000000048, average score: -4.4, best score: 74.96, epsilon: 0.40, steps: 10541
episode: 12, score: -5.8300000000000445, average score: -4.5, best score: 74.96, epsilon: 0.38, steps: 11707
episode: 13, score: 22.89500000000001, average score: -2.5, best score: 74.96, epsilon: 0.37, steps: 13128
episode: 14, score: 43.2400000000001, average score: 0.5, best score: 74.96, epsilon: 0.36, steps: 14480
episode: 15, score: 30.914999999999473, average score: 2.4, best score: 74.96, epsilon: 0.34, steps: 16297
episode: 16, score: 65.27999999999953, average score: 6.1, best score: 74.96, epsilon: 0.33, steps: 17241
episode: 17, score: 75.31999999999891, average score: 10.0, best score: 74.96, epsilon: 0.32, steps: 18177
episode: 18, score: 75.86000000000021, average score: 13.4, best score: 74.96, epsilon: 0.31, steps: 19005
episode: 19, score: 103.91000000000288, average score: 17.9, best score: 74.96, epsilon: 0.30, steps: 20223
episode: 20, score: -16.440000000000218, average score: 16.3, best score: 74.96, epsilon: 0.29, steps: 21511
episode: 21, score: 52.75500000000012, average score: 18.0, best score: 74.96, epsilon: 0.27, steps: 22960
episode: 22, score: -13.839999999999709, average score: 16.6, best score: 74.96, epsilon: 0.26, steps: 23728
episode: 23, score: 6.330000000000213, average score: 16.2, best score: 74.96, epsilon: 0.26, steps: 24462
episode: 24, score: -203.8299999999999, average score: 7.4, best score: 74.96, epsilon: 0.25, steps: 25228
episode: 25, score: -4.814999999999976, average score: 6.9, best score: 74.96, epsilon: 0.24, steps: 26191
episode: 26, score: 73.70999999999819, average score: 9.4, best score: 74.96, epsilon: 0.23, steps: 27449
episode: 27, score: -13.565000000000627, average score: 8.5, best score: 74.96, epsilon: 0.22, steps: 28162
episode: 28, score: -13.330000000000092, average score: 7.8, best score: 74.96, epsilon: 0.21, steps: 28828
episode: 29, score: 24.974999999999838, average score: 8.4, best score: 74.96, epsilon: 0.20, steps: 29833
episode: 30, score: 45.160000000000394, average score: 9.5, best score: 74.96, epsilon: 0.19, steps: 30801
episode: 31, score: -62.62000000000004, average score: 7.3, best score: 74.96, epsilon: 0.19, steps: 31325
episode: 32, score: 6.685000000000224, average score: 7.3, best score: 74.96, epsilon: 0.18, steps: 31988
episode: 33, score: 42.79499999999972, average score: 8.3, best score: 74.96, epsilon: 0.17, steps: 33429
episode: 34, score: -25.49000000000057, average score: 7.4, best score: 74.96, epsilon: 0.16, steps: 34527
episode: 35, score: -33.18999999999997, average score: 6.2, best score: 74.96, epsilon: 0.15, steps: 35165
episode: 36, score: 6.7049999999998935, average score: 6.2, best score: 74.96, epsilon: 0.14, steps: 35824
episode: 37, score: 72.82499999999801, average score: 8.0, best score: 74.96, epsilon: 0.13, steps: 37259
episode: 38, score: 44.80000000000069, average score: 8.9, best score: 74.96, epsilon: 0.12, steps: 38299
episode: 39, score: 47.02999999999955, average score: 9.9, best score: 74.96, epsilon: 0.11, steps: 38893
episode: 40, score: -15.64000000000038, average score: 9.3, best score: 74.96, epsilon: 0.10, steps: 40021
episode: 41, score: -51.7099999999998, average score: 7.8, best score: 74.96, epsilon: 0.10, steps: 40363
episode: 42, score: 35.8550000000001, average score: 8.5, best score: 74.96, epsilon: 0.10, steps: 41192
episode: 43, score: 44.08499999999975, average score: 9.3, best score: 74.96, epsilon: 0.10, steps: 42375
episode: 44, score: -13.120000000000191, average score: 8.8, best score: 74.96, epsilon: 0.10, steps: 42999
episode: 45, score: -23.229999999999865, average score: 8.1, best score: 74.96, epsilon: 0.10, steps: 43645
episode: 46, score: 32.80499999999974, average score: 8.6, best score: 74.96, epsilon: 0.10, steps: 45084
episode: 47, score: 115.63000000000099, average score: 10.8, best score: 74.96, epsilon: 0.10, steps: 45958
episode: 48, score: -33.370000000000104, average score: 9.9, best score: 74.96, epsilon: 0.10, steps: 46632
episode: 49, score: -12.500000000000568, average score: 9.5, best score: 74.96, epsilon: 0.10, steps: 49132
episode: 50, score: -3.2299999999997127, average score: 9.2, best score: 74.96, epsilon: 0.10, steps: 49778
episode: 51, score: 16.654999999999553, average score: 9.4, best score: 74.96, epsilon: 0.10, steps: 50447
episode: 52, score: 57.37000000000035, average score: 10.3, best score: 74.96, epsilon: 0.10, steps: 50973
episode: 53, score: 30.640000000000185, average score: 10.7, best score: 74.96, epsilon: 0.10, steps: 52845
episode: 54, score: -163.92499999999941, average score: 7.5, best score: 74.96, epsilon: 0.10, steps: 53630
episode: 55, score: -3.33500000000015, average score: 7.3, best score: 74.96, epsilon: 0.10, steps: 54297
episode: 56, score: -42.04999999999985, average score: 6.4, best score: 74.96, epsilon: 0.10, steps: 54707
