episode: 0, score: -183.755, average score: -183.8, best score: -inf, epsilon: 0.79, steps: 751
episode: 1, score: 55.32999999999957, average score: -64.2, best score: -183.75, epsilon: 0.78, steps: 1685
episode: 2, score: 55.23999999999921, average score: -24.4, best score: -64.21, epsilon: 0.77, steps: 2637
episode: 3, score: -183.70999999999995, average score: -64.2, best score: -24.40, epsilon: 0.77, steps: 3379
episode: 4, score: 65.99499999999925, average score: -38.2, best score: -24.40, epsilon: 0.76, steps: 4180
episode: 5, score: 35.34500000000018, average score: -25.9, best score: -24.40, epsilon: 0.75, steps: 5111
episode: 6, score: -213.6350000000002, average score: -52.7, best score: -24.40, epsilon: 0.74, steps: 5838
episode: 7, score: -223.8700000000001, average score: -74.1, best score: -24.40, epsilon: 0.73, steps: 6612
episode: 8, score: 25.955000000000194, average score: -63.0, best score: -24.40, epsilon: 0.73, steps: 7421
episode: 9, score: 45.96999999999981, average score: -52.1, best score: -24.40, epsilon: 0.72, steps: 8227
episode: 10, score: 65.85500000000042, average score: -41.4, best score: -24.40, epsilon: 0.71, steps: 9056
episode: 11, score: 44.270000000000515, average score: -34.3, best score: -24.40, epsilon: 0.70, steps: 10202
episode: 12, score: -193.91500000000008, average score: -46.5, best score: -24.40, epsilon: 0.69, steps: 10985
episode: 13, score: 67.30499999999964, average score: -38.4, best score: -24.40, epsilon: 0.69, steps: 11524
episode: 14, score: 44.72999999999988, average score: -32.9, best score: -24.40, epsilon: 0.67, steps: 12578
episode: 15, score: 34.91499999999979, average score: -28.6, best score: -24.40, epsilon: 0.66, steps: 13595
episode: 16, score: 55.86999999999952, average score: -23.7, best score: -24.40, epsilon: 0.66, steps: 14421
episode: 17, score: 85.15500000000104, average score: -17.6, best score: -23.65, epsilon: 0.65, steps: 15390
episode: 18, score: -12.500000000001279, average score: -17.3, best score: -17.61, epsilon: 0.62, steps: 17890
episode: 19, score: 66.1349999999995, average score: -13.2, best score: -17.34, epsilon: 0.61, steps: 18663
episode: 20, score: 36.01499999999965, average score: -10.8, best score: -13.17, epsilon: 0.61, steps: 19460
episode: 21, score: 43.79000000000067, average score: -8.3, best score: -10.82, epsilon: 0.59, steps: 20702
episode: 22, score: 44.46500000000036, average score: -6.0, best score: -8.34, epsilon: 0.58, steps: 21809
episode: 23, score: 65.96999999999973, average score: -3.0, best score: -6.05, epsilon: 0.57, steps: 22615
episode: 24, score: 30.095000000001136, average score: -1.7, best score: -3.04, epsilon: 0.55, steps: 24596
episode: 25, score: 67.60499999999958, average score: 0.9, best score: -1.72, epsilon: 0.55, steps: 25075
episode: 26, score: 87.21499999999962, average score: 4.1, best score: 0.95, epsilon: 0.54, steps: 25632
episode: 27, score: 84.66000000000201, average score: 7.0, best score: 4.14, epsilon: 0.53, steps: 26700
episode: 28, score: -143.66500000000084, average score: 1.8, best score: 7.02, epsilon: 0.53, steps: 27433
episode: 29, score: 45.944999999999176, average score: 3.3, best score: 7.02, epsilon: 0.52, steps: 28244
