episode: 0, score: 46.01999999999937, average score: 46.0, best score: -inf, epsilon: 0.49, steps: 796
episode: 1, score: 47.040000000000234, average score: 46.5, best score: 46.02, epsilon: 0.49, steps: 1388
episode: 2, score: 85.95999999999987, average score: 59.7, best score: 46.53, epsilon: 0.48, steps: 2196
episode: 3, score: 25.97499999999943, average score: 51.2, best score: 59.67, epsilon: 0.47, steps: 3001
episode: 4, score: -183.70999999999987, average score: 4.3, best score: 59.67, epsilon: 0.46, steps: 3743
episode: 5, score: 65.46499999999908, average score: 14.5, best score: 59.67, epsilon: 0.45, steps: 4650
episode: 6, score: 54.979999999998704, average score: 20.2, best score: 59.67, epsilon: 0.44, steps: 5654
episode: 7, score: 55.50999999999884, average score: 24.7, best score: 59.67, epsilon: 0.44, steps: 6552
episode: 8, score: 51.36999999999757, average score: 27.6, best score: 59.67, epsilon: 0.42, steps: 8278
episode: 9, score: 65.94499999999927, average score: 31.5, best score: 59.67, epsilon: 0.41, steps: 9089
episode: 10, score: 62.819999999997925, average score: 34.3, best score: 59.67, epsilon: 0.40, steps: 10525
episode: 11, score: 54.584999999998224, average score: 36.0, best score: 59.67, epsilon: 0.38, steps: 11608
episode: 12, score: 24.9249999999997, average score: 35.1, best score: 59.67, epsilon: 0.37, steps: 12623
episode: 13, score: 42.86500000000003, average score: 35.7, best score: 59.67, epsilon: 0.36, steps: 14050
episode: 14, score: 35.96000000000006, average score: 35.7, best score: 59.67, epsilon: 0.35, steps: 14858
episode: 15, score: -23.439999999999586, average score: 32.0, best score: 59.67, epsilon: 0.35, steps: 15546
episode: 16, score: 2.4649999999979997, average score: 30.3, best score: 59.67, epsilon: 0.33, steps: 17053
episode: 17, score: -32.969999999999864, average score: 26.8, best score: 59.67, epsilon: 0.32, steps: 17647
episode: 18, score: 25.98999999999976, average score: 26.7, best score: 59.67, epsilon: 0.32, steps: 18449
episode: 19, score: -3.680000000001119, average score: 25.2, best score: 59.67, epsilon: 0.31, steps: 19185
episode: 20, score: -43.630000000000095, average score: 21.9, best score: 59.67, epsilon: 0.30, steps: 19911
episode: 21, score: 67.16999999999895, average score: 24.0, best score: 59.67, epsilon: 0.30, steps: 20477
episode: 22, score: 97.18000000000072, average score: 27.2, best score: 59.67, epsilon: 0.29, steps: 21041
episode: 23, score: 24.699999999999463, average score: 27.1, best score: 59.67, epsilon: 0.28, steps: 22101
episode: 24, score: 75.07999999999971, average score: 29.0, best score: 59.67, epsilon: 0.27, steps: 23085
episode: 25, score: 85.25000000000098, average score: 31.1, best score: 59.67, epsilon: 0.26, steps: 24035
episode: 26, score: 22.70000000000018, average score: 30.8, best score: 59.67, epsilon: 0.25, steps: 25495
episode: 27, score: 74.82499999999884, average score: 32.4, best score: 59.67, epsilon: 0.24, steps: 26530
episode: 28, score: 51.8299999999994, average score: 33.1, best score: 59.67, epsilon: 0.22, steps: 28164
